Region	Places reporting cases	Cases	Deaths	Confirmed cases in the last 15 days
Africa	Algeria	847	58	774
Africa	Angola	8	2	8
Africa	Benin	13	0	12
Africa	Botswana	4	1	4
Africa	Burkina_Faso	288	16	262
Africa	Burundi	3	0	3
Africa	Cameroon	271	7	261
Africa	Cape_Verde	6	1	6
Africa	Central_African_Republic	8	0	7
Africa	Chad	7	0	7
Africa	Congo	41	3	38
Africa	Cote_dIvoire	194	1	188
Africa	Democratic_Republic_of_the_Congo	123	11	109
Africa	Djibouti	41	0	40
Africa	Egypt	779	52	583
Africa	Equatorial_Guinea	15	0	12
Africa	Eritrea	22	0	22
Africa	Eswatini	9	0	8
Africa	Ethiopia	29	0	23
Africa	Gabon	18	1	15
Africa	Gambia	4	1	3
Africa	Ghana	204	5	197
Africa	Guinea	52	0	51
Africa	Guinea_Bissau	9	0	9
Africa	Kenya	110	3	103
Africa	Liberia	6	0	4
Africa	Libya	11	1	11
Africa	Madagascar	59	0	59
Africa	Malawi	3	0	3
Africa	Mali	36	3	36
Africa	Mauritania	6	1	5
Africa	Morocco	708	44	654
Africa	Mozambique	10	0	10
Africa	Namibia	13	0	11
Africa	Niger	74	5	74
Africa	Nigeria	174	2	166
Africa	Rwanda	82	0	71
Africa	Senegal	195	1	159
Africa	Seychelles	10	0	4
Africa	Sierra_Leone	2	0	2
Africa	Somalia	5	0	4
Africa	South_Africa	1462	5	1346
Africa	Sudan	7	2	5
Africa	Togo	39	2	38
Africa	Tunisia	455	13	426
Africa	Uganda	45	0	45
Africa	United_Republic_of_Tanzania	21	1	18
Africa	Zambia	39	1	37
Africa	Zimbabwe	8	1	8
America	Anguilla	3	0	3
America	Antigua_and_Barbuda	9	0	8
America	Argentina	1133	34	1036
America	Aruba	60	0	58
America	Bahamas	24	1	23
America	Barbados	45	0	44
America	Belize	3	0	3
America	Bermuda	35	0	35
America	Bolivia	132	9	120
America	Bonaire, Saint Eustatius and Saba	2	0	2
America	Brazil	7910	299	7482
America	British_Virgin_Islands	3	0	3
America	Canada	11268	138	10578
America	Cayman_Islands	28	1	28
America	Chile	3404	18	3166
America	Colombia	1161	19	1059
America	Costa_Rica	396	2	327
America	Cuba	233	6	222
America	Curaçao	11	1	10
America	Dominica	12	0	12
America	Dominican_Republic	1380	60	1359
America	Ecuador	3163	120	2995
America	El_Salvador	46	2	45
America	Greenland	10	0	10
America	Grenada	10	0	10
America	Guatemala	47	1	39
America	Guyana	19	4	14
America	Haiti	18	0	18
America	Honduras	222	15	210
America	Jamaica	47	3	32
America	Mexico	1378	37	1260
America	Montserrat	5	0	5
America	Nicaragua	5	1	4
America	Panama	1475	37	1366
America	Paraguay	77	3	66
America	Peru	1414	55	1269
America	Puerto_Rico	316	12	316
America	Saint_Barthelemy	6	0	6
America	Saint_Kitts_and_Nevis	8	0	8
America	Saint_Lucia	13	0	11
America	Saint_Vincent_and_the_Grenadines	2	0	1
America	Sint_Maarten	23	2	22
America	Suriname	10	0	9
America	Trinidad_and_Tobago	97	6	88
America	Turks_and_Caicos_islands	5	0	5
America	United_States_of_America	245540	6053	236125
America	United_States_Virgin_Islands	33	0	33
America	Uruguay	369	4	290
America	Venezuela	144	3	111
Asia	Afghanistan	235	4	213
Asia	Bahrain	643	4	387
Asia	Bangladesh	56	6	46
Asia	Bhutan	5	0	4
Asia	Brunei_Darussalam	133	1	65
Asia	Cambodia	114	0	90
Asia	China	82465	3326	1335
Asia	India	2301	56	2136
Asia	Indonesia	1790	170	1618
Asia	Iran	50468	3160	33107
Asia	Iraq	772	54	608
Asia	Israel	6252	34	5819
Asia	Japan	2617	63	1744
Asia	Jordan	299	5	247
Asia	Kazakhstan	386	3	349
Asia	Kuwait	342	0	200
Asia	Kyrgyzstan	125	1	122
Asia	Laos	10	0	10
Asia	Lebanon	494	16	361
Asia	Malaysia	3116	50	2326
Asia	Maldives	19	0	6
Asia	Mauritius	169	7	169
Asia	Mongolia	14	0	9
Asia	Myanmar	20	1	20
Asia	Nepal	5	0	4
Asia	Oman	231	1	192
Asia	Pakistan	2291	31	1989
Asia	Palestine	155	1	111
Asia	Philippines	2633	107	2431
Asia	Qatar	949	3	497
Asia	Saudi_Arabia	1885	21	1714
Asia	Singapore	1049	5	736
Asia	South_Korea	10062	174	1497
Asia	Sri_Lanka	148	3	106
Asia	Syria	16	3	16
Asia	Taiwan	339	5	231
Asia	Thailand	1875	15	1698
Asia	Timor_Leste	1	0	1
Asia	Turkey	18135	356	17944
Asia	United_Arab_Emirates	1024	8	911
Asia	Uzbekistan	190	2	167
Asia	Vietnam	239	0	163
Europe	Albania	277	16	218
Europe	Andorra	428	15	375
Europe	Armenia	663	4	548
Europe	Austria	11129	158	9483
Europe	Azerbaijan	400	5	366
Europe	Belarus	254	4	208
Europe	Belgium	15348	1011	13862
Europe	Bosnia_and_Herzegovina	532	17	496
Europe	Bulgaria	457	10	365
Europe	Croatia	1011	7	930
Europe	Cyprus	356	9	298
Europe	Czech_Republic	3858	44	3336
Europe	Denmark	3386	123	2271
Europe	Estonia	858	11	600
Europe	Faroe_Islands	177	0	177
Europe	Finland	1518	19	1149
Europe	France	59105	4503	49971
Europe	Georgia	121	0	87
Europe	Germany	73522	872	65324
Europe	Gibraltar	88	1	88
Europe	Greece	1514	53	1096
