Region	Places reporting cases	Sum of Cases	Sum of Deaths	Confirmed cases during the 14-days of the reporting  period	Reporting period YYYY-WW
Africa	Algeria	210512	6058	2542	2021-46 and 2021-47
	Angola	65144	1733	231	2021-46 and 2021-47
	Benin	24850	161	17	2021-46 and 2021-47
	Botswana	194909	2416	1208	2021-46 and 2021-47
	Burkina_Faso	15711	281	197	2021-46 and 2021-47
	Burundi	20415	14	194	2021-46 and 2021-47
	Cameroon	106794	1791	604	2021-46 and 2021-47
	Cape_Verde	38362	349	66	2021-46 and 2021-47
	Central_African_Republic	11757	101	91	2021-46 and 2021-47
	Chad	5107	175	0	2021-46 and 2021-47
	Comoros	4498	150	102	2021-46 and 2021-47
	Congo	18905	354	366	2021-46 and 2021-47
	Cote_dIvoire	61708	704	197	2021-46 and 2021-47
	Democratic_Republic_of_the_Congo	58234	1107	505	2021-46 and 2021-47
	Djibouti	13504	186	9	2021-46 and 2021-47
	Egypt	356718	20347	12757	2021-46 and 2021-47
	Equatorial_Guinea	13579	173	94	2021-46 and 2021-47
	Eritrea	7318	60	263	2021-46 and 2021-47
	Eswatini	46538	1248	66	2021-46 and 2021-47
	Ethiopia	371262	6740	2440	2021-46 and 2021-47
	Gabon	37298	279	511	2021-46 and 2021-47
	Gambia	9989	342	3	2021-46 and 2021-47
	Ghana	130920	1209	210	2021-46 and 2021-47
	Guinea	30770	387	55	2021-46 and 2021-47
	Guinea_Bissau	6438	146	36	2021-46 and 2021-47
	Kenya	254951	5333	654	2021-46 and 2021-47
	Lesotho	21755	662	67	2021-46 and 2021-47
	Liberia	5823	287	5	2021-46 and 2021-47
	Libya	372209	5448	6972	2021-46 and 2021-47
	Madagascar	44072	967	400	2021-46 and 2021-47
	Malawi	61897	2305	54	2021-46 and 2021-47
	Mali	17339	605	673	2021-46 and 2021-47
	Mauritania	39178	831	1045	2021-46 and 2021-47
	Mauritius	41731	422	12942	2021-46 and 2021-47
	Morocco	949732	14774	1506	2021-46 and 2021-47
	Mozambique	151528	1941	101	2021-46 and 2021-47
	Namibia	129187	3573	127	2021-46 and 2021-47
	Niger	6958	254	266	2021-46 and 2021-47
	Nigeria	214092	2976	945	2021-46 and 2021-47
	Rwanda	100330	1342	194	2021-46 and 2021-47
	Sao_Tome_and_Principe	3731	56	0	2021-46 and 2021-47
	Senegal	73987	1885	33	2021-46 and 2021-47
	Seychelles	23390	122	686	2021-46 and 2021-47
	Sierra_Leone	6402	121	2	2021-46 and 2021-47
	Somalia	23016	1327	179	2021-46 and 2021-47
	South_Africa	2961406	89797	35467	2021-46 and 2021-47
	South_Sudan	12755	133	165	2021-46 and 2021-47
	Sudan	42820	3141	1587	2021-46 and 2021-47
	Togo	26250	243	92	2021-46 and 2021-47
	Tunisia	717309	25365	1593	2021-46 and 2021-47
	Uganda	127451	3252	449	2021-46 and 2021-47
	United_Republic_of_Tanzania	26261	730	53	2021-46 and 2021-47
	Western_Sahara	766	1	0	2021-46 and 2021-47
	Zambia	210143	3667	160	2021-46 and 2021-47
	Zimbabwe	133991	4705	553	2021-46 and 2021-47
America	Anguilla	1334	3	197	2021-46 and 2021-47
	Antigua_and_Barbuda	4141	117	19	2021-46 and 2021-47
	Argentina	5325560	116517	18480	2021-46 and 2021-47
	Aruba	16335	174	246	2021-46 and 2021-47
	Bahamas	22720	671	119	2021-46 and 2021-47
	Barbados	25152	228	2836	2021-46 and 2021-47
	Belize	30165	570	1060	2021-46 and 2021-47
	Bermuda	5748	106	35	2021-46 and 2021-47
	Bolivia	533756	19121	10271	2021-46 and 2021-47
	Bonaire, Saint Eustatius and Saba	2906	22	313	2021-46 and 2021-47
	Brazil	22080906	614278	120140	2021-46 and 2021-47
	British_Virgin_Islands	2773	38	28	2021-46 and 2021-47
	Canada	1790142	29670	37625	2021-46 and 2021-47
	Cayman_Islands	6738	4	2535	2021-46 and 2021-47
	Chile	1761365	38343	32598	2021-46 and 2021-47
	Colombia	5067348	128473	33082	2021-46 and 2021-47
	Costa_Rica	566560	7287	1898	2021-46 and 2021-47
	Cuba	962350	8300	3286	2021-46 and 2021-47
	Curaçao	17401	178	167	2021-46 and 2021-47
	Dominica	5776	37	774	2021-46 and 2021-47
	Dominican_Republic	407113	4204	10097	2021-46 and 2021-47
	Ecuador	526615	33219	4823	2021-46 and 2021-47
	El_Salvador	119803	3774	1762	2021-46 and 2021-47
	Falkland_Islands_(Malvinas)	79	0	0	2021-46 and 2021-47
	Greenland	1456	0	417	2021-46 and 2021-47
	Grenada	5884	200	21	2021-46 and 2021-47
	Guatemala	617621	15933	7587	2021-46 and 2021-47
	Guyana	37773	987	956	2021-46 and 2021-47
	Haiti	24974	723	339	2021-46 and 2021-47
	Honduras	377888	10403	921	2021-46 and 2021-47
	Jamaica	91222	2391	911	2021-46 and 2021-47
	Mexico	3884566	293950	38833	2021-46 and 2021-47
	Montserrat	44	1	3	2021-46 and 2021-47
	Nicaragua	17152	209	275	2021-46 and 2021-47
	Panama	477514	7362	2893	2021-46 and 2021-47
	Paraguay	462956	16463	953	2021-46 and 2021-47
	Peru	2234970	201144	19597	2021-46 and 2021-47
	Puerto_Rico	187936	3269	1326	2021-46 and 2021-47
	Saint_Kitts_and_Nevis	2782	28	33	2021-46 and 2021-47
	Saint_Lucia	12977	280	133	2021-46 and 2021-47
	Saint_Vincent_and_the_Grenadines	5525	73	199	2021-46 and 2021-47
	Sint_Maarten	4584	75	42	2021-46 and 2021-47
	Suriname	50656	1158	578	2021-46 and 2021-47
	Trinidad_and_Tobago	70136	2115	7466	2021-46 and 2021-47
	Turks_and_Caicos_islands	3096	24	51	2021-46 and 2021-47
	United_States_of_America	48234746	776647	1013099	2021-46 and 2021-47
	United_States_Virgin_Islands	7511	86	141	2021-46 and 2021-47
	Uruguay	399504	6130	2827	2021-46 and 2021-47
	Venezuela	428453	5115	8708	2021-46 and 2021-47
Asia	Afghanistan	157260	7308	611	2021-46 and 2021-47
	Bahrain	277585	1394	362	2021-46 and 2021-47
	Bangladesh	1575784	27978	3283	2021-46 and 2021-47
	Bhutan	2640	3	15	2021-46 and 2021-47
	Brunei_Darussalam	15036	57	978	2021-46 and 2021-47
	Cambodia	120112	2935	524	2021-46 and 2021-47
	China	111176	4849	396	2021-46 and 2021-47
	India	34580832	468790	133296	2021-46 and 2021-47
	Indonesia	4256112	143819	5257	2021-46 and 2021-47
	Iran	6108882	129629	77307	2021-46 and 2021-47
	Iraq	2079622	23793	10375	2021-46 and 2021-47
	Israel	1342498	8189	5005	2021-46 and 2021-47
	Japan	1727143	18358	1677	2021-46 and 2021-47
	Jordan	948966	11584	53402	2021-46 and 2021-47
	Kazakhstan	1054091	17818	14420	2021-46 and 2021-47
	Kuwait	413266	2465	258	2021-46 and 2021-47
	Kyrgyzstan	183285	2743	860	2021-46 and 2021-47
	Laos	71518	159	17326	2021-46 and 2021-47
	Lebanon	668087	8709	15352	2021-46 and 2021-47
	Malaysia	2623816	30309	77507	2021-46 and 2021-47
	Maldives	91464	248	1624	2021-46 and 2021-47
	Mongolia	381330	1922	8570	2021-46 and 2021-47
	Myanmar	521561	19088	8299	2021-46 and 2021-47
	Nepal	820878	11523	3912	2021-46 and 2021-47
	Oman	304554	4113	117	2021-46 and 2021-47
	Pakistan	1284365	28718	4489	2021-46 and 2021-47
	Palestine	460055	4796	2899	2021-46 and 2021-47
	Philippines	2831807	48361	13296	2021-46 and 2021-47
	Qatar	243132	611	2043	2021-46 and 2021-47
	Saudi_Arabia	549695	8833	473	2021-46 and 2021-47
	Singapore	262383	701	25180	2021-46 and 2021-47
	South_Korea	440891	3548	43425	2021-46 and 2021-47
	Sri_Lanka	562520	14305	10978	2021-46 and 2021-47
	Syria	47965	2739	1690	2021-46 and 2021-47
	Taiwan	16596	848	100	2021-46 and 2021-47
	Tajikistan	17493	125	5	2021-46 and 2021-47
	Thailand	2111566	20734	86813	2021-46 and 2021-47
	Timor_Leste	19822	122	13	2021-46 and 2021-47
	United_Arab_Emirates	741858	2145	913	2021-46 and 2021-47
	Uzbekistan	193065	1399	3150	2021-46 and 2021-47
	Vietnam	1224110	25055	188972	2021-46 and 2021-47
	Yemen	9987	1946	69	2021-46 and 2021-47
Europe	Albania	199555	3089	6480	2021-46 and 2021-47
	Andorra	17115	131	1208	2021-46 and 2021-47
	Armenia	338120	7535	8779	2021-46 and 2021-47
	Austria	1147723	11959	181071	2021-46 and 2021-47
	Azerbaijan	585783	7807	24930	2021-46 and 2021-47
	Belarus	653323	5067	24052	2021-46 and 2021-47
	Belgium	1754239	26966	237780	2021-46 and 2021-47
	Bosnia_and_Herzegovina	274219	12555	9070	2021-46 and 2021-47
	Bulgaria	688628	28043	33809	2021-46 and 2021-47
	Croatia	604347	10826	64460	2021-46 and 2021-47
	Cyprus	131927	709	5170	2021-46 and 2021-47
	Czechia	2132315	32937	235756	2021-46 and 2021-47
	Denmark	475197	2883	52926	2021-46 and 2021-47
	Estonia	211386	1697	9258	2021-46 and 2021-47
	Faroe_Islands	3553	13	587	2021-46 and 2021-47
	Finland	183163	1762	14896	2021-46 and 2021-47
	France	7589961	122917	317700	2021-46 and 2021-47
	Georgia	840593	11974	54682	2021-46 and 2021-47
	Germany	5799244	100832	744274	2021-46 and 2021-47
	Gibraltar	7179	98	670	2021-46 and 2021-47
	Greece	927575	18028	91815	2021-46 and 2021-47
	Guernsey	3932	23	1161	2021-46 and 2021-47
	Holy_See	26	0	0	2021-46 and 2021-47
	Hungary	1096799	33236	135874	2021-46 and 2021-47
	Iceland	17766	35	2033	2021-46 and 2021-47
	Ireland	564646	5331	61650	2021-46 and 2021-47
	Isle_of_Man	10894	66	667	2021-46 and 2021-47
	Italy	5005122	134212	129039	2021-46 and 2021-47
	Jersey	13952	81	1678	2021-46 and 2021-47
	Kosovo	161083	2983	131	2021-46 and 2021-47
	Latvia	252411	4468	12073	2021-46 and 2021-47
	Liechtenstein	4566	61	744	2021-46 and 2021-47
	Lithuania	456911	6585	24502	2021-46 and 2021-47
	Luxembourg	91117	917	4512	2021-46 and 2021-47
	Malta	38663	468	1075	2021-46 and 2021-47
	Moldova	362433	9069	9611	2021-46 and 2021-47
	Monaco	3738	36	252	2021-46 and 2021-47
	Montenegro	156873	2285	4786	2021-46 and 2021-47
	Netherlands	2599447	19401	304608	2021-46 and 2021-47
	North_Macedonia	215009	7547	5732	2021-46 and 2021-47
	Norway	262535	1317	32843	2021-46 and 2021-47
	Poland	3492739	83410	306947	2021-46 and 2021-47
	Portugal	1144331	18427	35829	2021-46 and 2021-47
	Romania	1764291	55358	31833	2021-46 and 2021-47
	Russia	9604233	273964	533559	2021-46 and 2021-47
	San_Marino	5979	93	325	2021-46 and 2021-47
	Serbia	1250393	11588	39230	2021-46 and 2021-47
	Slovakia	1159767	14814	138290	2021-46 and 2021-47
	Slovenia	418413	5540	38422	2021-46 and 2021-47
	Spain	5153904	88005	94400	2021-46 and 2021-47
	Sweden	1203175	15148	19021	2021-46 and 2021-47
	Switzerland	1006227	11126	91427	2021-46 and 2021-47
	Turkey	8724400	76233	316234	2021-46 and 2021-47
	Ukraine	3427827	85414	199386	2021-46 and 2021-47
	United_Kingdom	10146915	144775	585816	2021-46 and 2021-47
Oceania	American_Samoa	5	0	0	2021-46 and 2021-47
	Australia	207982	1994	17378	2021-46 and 2021-47
	Fiji	52506	696	77	2021-46 and 2021-47
	French_Polynesia	45609	636	36	2021-46 and 2021-47
	Guam	19179	263	237	2021-46 and 2021-47
	Marshall_Islands	4	0	0	2021-46 and 2021-47
	Micronesia_(Federated_States_of)	0	0	0	2021-46 and 2021-47
	New_Caledonia	12139	276	519	2021-46 and 2021-47
	New_Zealand	11074	43	2570	2021-46 and 2021-47
	Northern_Mariana_Islands	649	3	260	2021-46 and 2021-47
	Palau	8	0	0	2021-46 and 2021-47
	Papua_New_Guinea	35090	545	2105	2021-46 and 2021-47
	Samoa	1	0	0	2021-46 and 2021-47
	Solomon_Islands	20	0	0	2021-46 and 2021-47
