Region	Places reporting cases	Cases	Deaths	Confirmed cases in the last 14 days
Africa	Algeria	2418	364	1247
Africa	Angola	19	2	11
Africa	Benin	37	1	21
Africa	Botswana	15	1	11
Africa	Burkina_Faso	557	35	269
Africa	Burundi	6	1	3
Africa	Cameroon	1016	21	507
Africa	Cape_Verde	56	1	50
Africa	Central_African_Republic	12	0	4
Africa	Chad	33	0	26
Africa	Congo	143	6	102
Africa	Cote_dIvoire	742	6	524
Africa	Democratic_Republic_of_the_Congo	307	25	173
Africa	Djibouti	732	2	691
Africa	Egypt	2844	205	2065
Africa	Equatorial_Guinea	79	0	63
Africa	Eritrea	35	0	13
Africa	Eswatini	19	1	10
Africa	Ethiopia	96	3	61
Africa	Gabon	108	1	87
Africa	Gambia	9	1	5
Africa	Ghana	641	8	436
Africa	Guinea	477	3	425
Africa	Guinea_Bissau	50	0	35
Africa	Kenya	246	11	124
Africa	Liberia	76	7	69
Africa	Libya	49	1	38
Africa	Madagascar	117	0	52
Africa	Malawi	17	2	14
Africa	Mali	190	13	151
Africa	Mauritania	7	1	1
Africa	Mauritius	324	9	138
Africa	Morocco	2564	135	1856
Africa	Mozambique	34	0	24
Africa	Namibia	16	0	2
Africa	Niger	627	18	529
Africa	Nigeria	493	17	303
Africa	Rwanda	143	0	54
Africa	Sao_Tome_and_Principe	4	0	4
Africa	Senegal	342	3	135
Africa	Seychelles	11	0	1
Africa	Sierra_Leone	26	0	24
Africa	Somalia	116	5	111
Africa	South_Africa	2783	50	1278
Africa	South_Sudan	4	0	4
Africa	Sudan	32	5	25
Africa	Togo	83	5	43
Africa	Tunisia	864	37	409
Africa	Uganda	55	0	7
Africa	United_Republic_of_Tanzania	147	5	126
Africa	Zambia	52	2	13
Africa	Zimbabwe	24	3	15
America	Anguilla	3	0	0
America	Antigua_and_Barbuda	23	2	8
America	Argentina	2658	122	1393
America	Aruba	96	2	34
America	Bahamas	55	9	31
America	Barbados	75	5	30
America	Belize	18	2	14
America	Bermuda	83	5	48
America	Bolivia	493	31	354
America	Bonaire, Saint Eustatius and Saba	4	0	2
America	Brazil	33682	2141	24626
America	British_Virgin_Islands	3	0	0
America	Canada	31872	1309	19353
America	Cayman_Islands	61	1	32
America	Chile	9252	116	5515
America	Colombia	3439	153	2172
America	Costa_Rica	649	4	233
America	Cuba	923	31	654
America	Curaçao	14	1	3
America	Dominica	16	0	2
America	Dominican_Republic	4126	200	2638
America	Ecuador	8450	421	5082
America	El_Salvador	177	7	121
America	Falkland_Islands_(Malvinas)	11	0	10
America	Greenland	11	0	1
America	Grenada	14	0	2
America	Guatemala	235	7	185
America	Guyana	63	6	40
America	Haiti	44	3	26
America	Honduras	457	46	193
America	Jamaica	163	5	110
America	Mexico	6875	546	5187
America	Montserrat	11	0	6
America	Nicaragua	12	1	7
America	Panama	4210	116	2537
America	Paraguay	202	8	106
America	Peru	13489	300	11894
America	Puerto_Rico	1068	58	690
America	Saint_Kitts_and_Nevis	14	0	5
America	Saint_Lucia	15	0	2
America	Saint_Vincent_and_the_Grenadines	12	0	5
America	Sint_Maarten	57	9	34
America	Suriname	10	1	0
America	Trinidad_and_Tobago	114	8	14
America	Turks_and_Caicos_islands	11	1	6
America	United_States_of_America	702164	37054	424199
America	United_States_Virgin_Islands	51	2	11
America	Uruguay	570	9	184
America	Venezuela	227	9	83
Asia	Afghanistan	845	30	610
Asia	Bahrain	1744	7	1101
Asia	Bangladesh	1838	75	1777
Asia	Bhutan	5	0	0
Asia	Brunei_Darussalam	136	1	3
Asia	Cambodia	122	0	8
Asia	China	83785	4636	1258
Asia	India	14378	480	11476
Asia	Indonesia	5923	520	3937
Asia	Iran	79494	4958	29026
Asia	Iraq	1482	81	710
Asia	Israel	12982	151	5554
Asia	Japan	9795	154	6860
Asia	Jordan	407	7	108
Asia	Kazakhstan	1591	17	1131
Asia	Kuwait	1658	5	1316
Asia	Kyrgyzstan	506	5	362
Asia	Laos	19	0	9
Asia	Lebanon	668	21	174
Asia	Malaysia	5251	86	1918
Asia	Maldives	29	0	10
Asia	Mongolia	31	0	17
Asia	Myanmar	94	5	74
Asia	Nepal	30	0	24
Asia	Oman	1069	6	838
Asia	Pakistan	7481	143	5190
Asia	Palestine	307	2	152
Asia	Philippines	5878	387	2860
Asia	Qatar	4663	7	3714
Asia	Saudi_Arabia	7142	87	5257
Asia	Singapore	5050	11	3936
Asia	South_Korea	10653	232	497
Asia	Sri_Lanka	244	7	93
Asia	Syria	38	2	22
Asia	Taiwan	395	6	40
Asia	Thailand	2700	47	722
Asia	Timor_Leste	18	0	17
Asia	Turkey	78546	1769	57625
Asia	United_Arab_Emirates	5825	35	4801
Asia	Uzbekistan	1450	4	1223
Asia	Vietnam	276	0	37
Asia	Yemen	1	0	1
Europe	Albania	539	26	235
Europe	Andorra	696	35	257
Europe	Armenia	1248	20	512
Europe	Austria	14603	431	3078
Europe	Azerbaijan	1340	15	897
Europe	Belarus	4779	42	4428
Europe	Belgium	36138	5163	19368
Europe	Bosnia_and_Herzegovina	1210	44	624
Europe	Bulgaria	846	41	361
Europe	Croatia	1814	36	735
Europe	Cyprus	735	17	339
Europe	Czechia	6549	173	2359
Europe	Denmark	7073	336	3316
Europe	Estonia	1459	38	498
Europe	Faroe_Islands	184	0	5
Europe	Finland	3489	82	1874
Europe	France	109252	18681	44914
Europe	Georgia	370	3	222
Europe	Germany	137439	4110	51661
Europe	Gibraltar	133	4	38
Europe	Greece	2207	105	594
Europe	Guernsey	234	9	120
Europe	Holy_See	8	0	1
Europe	Hungary	1834	172	1156
Europe	Iceland	1754	8	390
Europe	Ireland	13980	530	9707
Europe	Isle_of_Man	289	4	175
Europe	Italy	172434	22747	52607
Europe	Jersey	224	11	106
Europe	Kosovo	480	12	354
Europe	Latvia	682	5	189
Europe	Liechtenstein	81	1	6
Europe	Lithuania	1239	33	468
Europe	Luxembourg	3480	72	868
Europe	Malta	422	3	220
Europe	Moldova	2264	56	1673
Europe	Monaco	94	3	30
Europe	Montenegro	303	4	129
Europe	Netherlands	30449	3459	14726
Europe	North_Macedonia	1117	49	687
Europe	Norway	6791	136	1583
Europe	Poland	8379	332	4996
Europe	Portugal	19022	657	9136
Europe	Romania	8067	400	4884
Europe	Russia	32008	273	27859
Europe	San_Marino	435	39	184
Europe	Serbia	5690	110	4214
Europe	Slovakia	1049	9	599
Europe	Slovenia	1304	66	370
Europe	Spain	188068	19478	70358
Europe	Sweden	13216	1400	7138
Europe	Switzerland	26997	1058	7770
Europe	Ukraine	5106	133	4119
Europe	United_Kingdom	108692	14576	70524
Oceania	Australia	6533	67	985
Oceania	Fiji	17	0	5
Oceania	French_Polynesia	55	0	16
Oceania	Guam	136	5	49
Oceania	New_Caledonia	18	0	0
Oceania	New_Zealand	1094	11	270
Oceania	Northern_Mariana_Islands	14	2	6
Oceania	Papua_New_Guinea	7	0	6
Other	Cases_on_an_international_conveyance_Japan	696	7	0
*Total*		*2197593*	*153090*	*1109757*
