title,url,country,visualizationType,thumbnail,author,other
"’s new remote monitoring solutions using CDC guidelines that could help manage burdens on healthcare systems…""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,Joseph Paul Cohen,https://drive.google.com/open?id=15OetZibzK2GvRmo8Ga3NnhjX0RJSk9v5
"11.040.10 Anaesthetic, respiratory and reanimation equipment Including medical gas installations",https://www.iso.org/ics/11.040.10/x/,Global,Hardware Standad,https://cdn.pixabay.com/photo/2013/07/12/19/19/iso-154533_960_720.png,Paul Mooney,
3D printable dual filter mask,https://www.thingiverse.com/thing:4232209,Global,Hardware,https://svgsilh.com/svg/1710300.svg,,
3D printed mask hacked from Decathlon regular snorkle by Issinova: the Charlotte valve,https://www.isinnova.it/easy-covid19-eng/,Italy,Hardware,https://images3.persgroep.net/rcs/2N__WlRmlTgChSsEH14T7-L1sFY/diocontent/168746074/_fitwidth/763?appId=2dc96dd3f167e919913d808324cbfeb2&quality=0.8,,
3dforcovid.com Face Shield Initiative,3dforcovid.com,USA/Global,Hardware,https://svgsilh.com/svg/1710300.svg,,
A better way of connecting multiple patients to a single ventilator,https://medium.com/@pinsonhannah/a-better-way-of-connecting-multiple-patients-to-a-single-ventilator-fa9cf42679c6?sk=500216ecc83432d76c1746ceb52b2c74,Global,Hardware,https://icons-for-free.com/iconfiles/png/512/medium+icon-1320186682844050412.png,Adam Bernheim,
a ew good hygiene tips to keep in mind when you make your grocery shopping trips appleton covid,https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,Lian Yang,
A list of all the companies WFH or events changed because of covid-19,https://stayinghome.club/,,Support Community,https://cdn.onlinewebfonts.com/svg/img_263253.png,Yuxin Shi,
"A panel o experts weigh in on the impact weather and climate may have on slowing or accelerating COVID inection ra…""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,Wenbin Ji,
"A resident where we are perorming gaswork let this note or our crewThank you kind stranger on behal o all o us …""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,Hong Shan,
A Twitter Dataset of 40+ million tweets related to COVID-19,https://jovian.ml/forum/t/latest-dataset-of-40-million-tweets-of-covid19-chatter/656?u=nilexshinde,,Tweet,http://www.panacealab.org/img/site_logo.png,Ya‐dong Gao,
"A vaccine is still at leastmonths away  In the meantime we recognize that there is an urgent need or thera…""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,Weishun Lan,
"A virus is sweeping the globe and our little Conservative attack dog is STILL going on about the carbon tax Is he menta…""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,,
"A virus is sweeping the globe and our little Conservative attack dog is STILL going on about the carbon tax Is he menta…""",https://twitter.com,Global,tweet,https://cdn.pixabay.com/photo/2017/12/06/04/57/twitter-3000965_960_720.png,"Banda, Juan M.; Tekumalla, Ramya",
