tweet	thumbnail
during the coming weeks, critically-acclaimed professional artists from the film and music industries will review t	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
who thanks richard curtis, wagner moura,	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
in celebration of the year of the nurse and the midwife, we created a category in our	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
animation can be a powerful means of helping us to understand health issues. here is our shortlist of categories in	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
films shortlisted in the video reports category of our	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
whos inaugural	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
the full briefing on	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
"in these difficult times, film &amp; other media are a powerful way not only of communicating important health message	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
"we will be showing all the short-listed films in the coming weeks on our website and social media channels"-	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
"we received 1,300+ entries from 110 countries &amp; today we are announcing a short list of 45 excellent short films a	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
"physical distance doesnt mean social distance.  we all need to check in regularly on older parents, neighbors, fr	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
"we need to work together to protect older people from the	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
"they [older people] are at higher risk of the more serious complications of	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
"although we are especially concerned about vulnerable countries, all countries have vulnerable populations, incl.	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
"were grateful to the over 200k individuals &amp; orgs who have contributed to the	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
"we also welcome the secretary-generals call for a global ceasefire. we are all facing a common threat, and the on	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
"together with our partners in the	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
"this is especially relevant for many vulnerable countries whose health systems may collapse under the weight of th	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
"more than 150 countries &amp; territories still have fewer than 100 cases. by taking the same aggressive actions now,	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
"aggressive measures to find, isolate, test, treat and trace are not only the best and fastest way out of extreme s	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
"these measures are the best way to suppress &amp; stop transmission, so that when restrictions are lifted, the	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
"... -identify, adapt and equip facilities you will use to treat &amp; isolate patients -develop a clear plan &amp; process	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
media briefing on	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
"history will judge us on how we responded to the poorest communities in their darkest hour.  lets act together, r	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
"our message to all countries is clear: heed this warning now, back this plan politically &amp; financially today &amp; we	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
we need to protect the health and humanitarian supply chain so that our frontline workers are protected and abl	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
were building the ship as we sail and its critical that we continue to share learnings and innovations so tha	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
slow, suppress &amp; stop transmission to reduce the burden on health facilities. this means safe	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
prioritize treatment for those at highest risk of severe illness"-	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
ramp up surveillance and lab testing so that those with the virus can be identified quickly and isolated safely	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
the public must be effectively prepared for the critical measures that are needed to help suppress the spread a	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
"the new global humanitarian response plan builds on that effort and sets a six-point action plan for how to prepar	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
"weve worked with business leaders to ensure supply chains are working and bottlenecks are overcome"-	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
"weve brought scientists together to boost funding in the r&amp;d of diagnostics, treatments &amp; a future vaccine. we	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
"i implore leaders to stand together and heed this appeal. since the	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
"despite their resilience they do need our help today and this new plan lays out what has to happen right now, in o	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
"people and communities that are already uprooted due to conflict, displacement, the climate crisis or other diseas	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
"as you know, the pandemic has accelerated over the last two weeks and while	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
"i am pleased to join colleagues at this critical moment in the fight against the	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
live now: launch of the	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
looking after yourself, your family &amp; friends is important through these stressful times. who encourages everyone a	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
being active every day is good for your body, mind and spirit especially duringtimes. who encourages everyone a	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
we can still beat	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
while you stay/work at home, reduce long periods spent sitting using active breaks every 30 mins walk up and dow	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
be kind to yourself to	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
  if you are at home because of ce long periods spent sitting using active breaks every 30 mins, walk up and down	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
doing any activity around the home is better than none at all. be active during	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
today, there are many preventive treatment options available. new, shorter treatment options mean that people can b	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
the chance of developing tb disease is higher if you: are in close contact with a tb patient, are living with hiow	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
stigmatizing people with tb inhibits care and is socially devastating. its time to stand against stigma and discri	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
more effective medicines, vaccines and tools are urgently needed to break the trajectory of the tb epidemic. it's t	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
nurses and healthcare workers play a critical role in tb prevention and care. its time to invest in them to impr	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
affordable and quick diagnosis is the first step towards timely tb care. its time for universal access to rapid mo	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
people in close contact with tb patients, especially children, and people living with hiv are at high risk of devel	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
1 in 4 people have tb infection. they need to take preventive treatment to stop the infection from developing into	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
1 in 2 children with tb miss out on access to quality care, risking serious illness and death. its time to ensure	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
1 in 3 people with tb cant get quality care today. its time for universal access to treat all people with quality	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
ending tb by 2030 needs: political will, financial resources, multisectoral engagement, community ownershi	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
be safe from the	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
"pass the message to kick out	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
"our new	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
"i would also like to thank	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
"to date, the	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
"id also like to take this opportunity to thank	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
" can reach millions of people, especially younger people, that public health officials cannot. today its my grea	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
"many football  matches have stopped but our collaboration has become even more important during this difficult	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
"less than 6 months ago, who &amp;	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
media briefing on	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
thank you	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
people of all ages can take part in our	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
thank you	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
watch our goodwill ambassador	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
media outlets have a key role to play in promoting	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
even in poor areas with limited resources, you can stay safe from	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
thank you mary for promoting our	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
